sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières se démentirent.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","Ça n'est pas sûr près des côtes pour l'instant, mais je connais bien la région, dit Mesa."
Chapter 10,Chapitre 10,10e chapitre
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Ça, c'était un miracle, compte tenu de la force de la tempête."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Si les choses étaient différentes, il aurait demandé à sortir avec elle ou trois fois."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me fait tourner sur le ventre avec une facilité qui me surprend.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Ça pourrait nous sembler qu'il y ait une grande roue à Paris, mais on pourrait la nommer la Tour Eiffel."
"""I know the area you are talking about.",Je connais le coin dont tu parles.,Ça me rappelle l'endroit que tu parles.
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Ça sort sur un soupir, parce que John abaissa la tête sur ma peau, les lèvres glissant sur l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,Ça ne te fait pas d'habitude les samedis.
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il se retira, il roula ses hanches plus lentement, la prenant avec des coups de bâtonnet lents pour pouvoir savourer chaque retour dans son corps."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","Ça ne t'oblige pas à m'expliquer, John."
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ça ne leur servait à rien.
"I was grateful in the beginning that he'd gone out of his way not to be a distraction during my shifts, but I'm now I'm feeling a bit left out.","Au début, j'étais reconnaissant qu'il fasse tout son possible pour ne pas être une distraction pendant mes heures de travail, mais maintenant, je me sens un peu exclu.","Ça m'a fait plaisir au début qu'il n'ait pas été une distraction pendant mes heures de travail, mais maintenant je me sens un peu laissé de côté."
"Wood cracked and splinteredthough he couldn't see it, he knew the bar roof was close to stripping away, shingles probably flying everywhere.","Le bois cognait et se brisait  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'arracher, et que les bardeaux volaient probablement dans tous les sens.","Ça craquait et se fissurait,  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'effacer, les tuiles volant probablement partout."
"Make sure that she takes her meds, takes it easy, and changes her bandage.""","Assure toi qu'elle prenne ses médicaments, qu'elle se ménage et qu'elle change son bandage.","Ça, assure-toi qu'elle prend ses médicaments, qu'elle se calme et qu'elle change son pansement."
"""Get out of here, Mari,"" Chase yelled.","Sors d'ici, Mari, cria Chase.","Ça suffit, Mari, gronda Chase."
And he wasn't going to get away with stalking anyone either.,Et il n'allait pas non plus s'en tirer en harcelant qui que ce,"Ça ne marchait pas, il ne pouvait pas faire ça."
"I'm so open to him, so eager to receive him.","Je suis tellement ouvert à lui, tellement désireux de le recevoir.","Ça me fait si ouvert à lui, si prêt à l'accueillir."
It's a déjà vu moment if I've ever had one.,C'est un moment de déjà-vu.,Ça ressemble à un moment de déjà-vu si j'en ai jamais eu.
"When I'm with someone, I want to share the good and the bad.","Quand je suis avec quelqu'un, je veux partager les bons et les mauvais moments.","Quand je suis avec quelqu'un, je veux partager le bon et le mauvais."
"""You have a lot of eighties music here,"" John observes.","Tu as beaucoup de musique des années 80, observe John.","Ça y a beaucoup de musique des années 80, remarque John."
"I can escape with little effort.""",Je peux m'échapper sans trop d'efforts.,Ça me permet d'échapper avec peu d'efforts.
"At some spots, the island was so narrow you could throw a stone from the sound side to the waves.","À certains endroits, l'île était si étroite que l'on pouvait jeter une pierre sur les vagues du rivage et elle atterrirait dans les profondeurs.","Ça faisait des centaines de mètres de large, mais à certains endroits, l'île était si étroite que vous pouviez jeter une pierre du côté du son vers les vagues."
"""When I finish up here.",Quand j'aurai fini ici.,"Ça, quand je finirai ici."
How could her mother ever expect her to marry someone like Inna?,Comment sa mère avait-t-elle pu s'attendre à ce qu'elle épouse quelqu'un comme Inna ?,"Ça, comment pouvait-on s'y attendre ?"
A real kiss.,Un vrai baiser.,"Ça, c'est un vrai baiser."
It also got me my gig as a disc jockey.,C'est aussi ce qui m'a permis de devenir disc-jockey.,Ça m'a aussi permis de devenir DJ.
"""No!"" came the hysterical reply that had him sighing heavily as he reached down and grabbed hold of the comforter and slowly pulled it off the woman that refused to leave the hotel.","une pointe d'hystérie dans la voix, ce qui le fit soupirer lourdement en attrapant la couette et en la retirant lentement à la femme qui refusait de quitter l'hôtel","Non ! répondit-elle hystériquement, ce qui fit qu'il soupira lourdement et qu'il se pencha pour attraper la couette et la retirer lentement de la femme qui refusait de quitter l'hôtel."
The wind and rain had been scarier than she'd ever experienced.,Le vent et la pluie avaient été plus effrayants qu'ils ne lui étaient jamais apparus.,Ça avait été plus effrayant que tout ce qu'elle avait jamais vécu.
He'd been there that day when she had come upon the divers.,Il était là ce jour-là quand elle avait rencontré les plongeurs.,Ça a été le jour où elle avait rencontré les plongeurs.
"""Amelia never remarried but lived on the bounty Christopher had stored and hidden on the island.",Amelia ne s'est jamais remariée mais a vécu grâce à la prime que Christopher avait stockée et cachée sur l'île.,"Amelia n'a jamais repris la vie conjugale, mais elle a vécu grâce à la réserve de nourriture que Christopher avait stockée et cachée sur l'île."
"""Only bloody thing they ever gave me,"" I murmur.","C'est la seule chose qu'ils m'aient jamais donnée , murmuré-je.","Ça, c'est la seule chose qu'ils m'aient jamais donnée, murmuré-je."
"""Tell me you didn't, please!""","Dis-moi que tu ne l'as pas fait, s'il te plaît !","Ça veut dire que tu n'as pas fait ça, n'est-ce pas ?"
"The wind whipped by, catching the hem of his T-shirt in a flutter, exposing his firm abdomen for a too-brief moment.","Le vent soufflait en trombe, faisant voltiger l'ourlet de son tee-shirt, dévoilant son abdomen ferme pendant un trop bref instant.","Le vent passa, attrapant la bordure de sa chemise, la faisant flotter, révélant son abdomen ferme pendant un instant trop court."
"You never would.""",Tu ne le ferais jamais.,Ça ne te serait jamais arrivé.
Then they were separatedpossibly foreverto save her life.,Puis ils ont été séparés  peut-être pour toujours  afin de lui sauver la vie.,"Ça a été difficile, puis ils se sont séparés, peut-être pour toujours, pour sauver sa vie."
"""I would probably quake in fear for the rest of my life at the mere mention of your name,"" Devyn said dryly as he watched her return to glaring at him as she hastily toed off her slippers and kicked them aside, determined to make sure that he was properly terrified.","Je tremblerais probablement de peur pour le reste de ma vie à la simple mention de ton nom, dit Devyn d'un ton moqueur en la regardant se remettre à le fixer du regard tandis qu'elle enlevait précipitamment ses pantoufles et les écartait d'un coup de pied, bien décidée à s'assurer qu'il était bien terrifié.","Ça me ferait probablement trembler de peur pour le reste de ma vie à la simple mention de ton nom, dit Devyn sèchement en la regardant revenir à glapir à lui tout en ôtant rapidement ses mocassins et les jetant de côté, déterminée à s'assurer qu'il était bien effrayé."
"It was water, nothing more.","C'était de l'eau, rien de plus.","Ça, c'était de l'eau, rien de plus."
"""Probably.""",Probablement.,Ça pourrait être.
"""Well, I don't think your brother would approve of you picking up and leaving the bar and everything you built here together.",Je ne pense pas que ton frère approuverait que tu prennes tes affaires et que tu quittes le bar et tout ce que vous avez construit ici ensemble.,Ça ne plairait pas à ton frère que tu te lèves et que tu quittes le bar et tout ce que tu as construit ici avec lui.
"Let's start tonight.""",Commençons ce soir.,Ça commence ce soir.
"I claim the right.""",Je revendique ce droit.,Ça me revient.
"In the new sunlight, he saw her body jerk and twitch.","Dans la nouvelle lumière du soleil, il vit son corps tressaillir et se contracter.","Ça faisait un moment qu'il n'avait pas vu de soleil, et il avait oublié qu'il avait laissé la porte ouverte."
"She was by the ocean, making her own way, despite her mother.","Elle était au bord de l'océan, traçant son propre chemin, malgré sa mère.","Ça faisait partie de son style, de sa façon de faire, malgré sa mère."
"""No, I'm not because I'm not going,"" Andi said with a firm nod as Uncle Shawn placed her back on her chair as she did her best to ignore the curious stares being sent her way by the kids that never seemed to appreciate her efforts to teach them the fundamentals of advanced algebra.","Non, parce que je n'irai pas en CM1, dit Andi en hochant fermement la tête alors qu'Oncle Shawn l'asseyait sur une chaise et qu'elle faisait son possible pour ignorer les regards curieux que lui lançaient les enfants qui n'appréciaient jamais ses efforts pour leur enseigner les bases en calcul avancé.","Ça ne m'intéresse pas, car je ne vais pas, dit Andi avec un geste ferme alors que l'on la remettait dans sa chaise, alors qu'elle faisait son possible pour ignorer les regards curieux des enfants qui ne semblaient jamais apprécier ses efforts pour leur enseigner les fondamentaux de l'algèbre avancée."
"Air whooshes out of my lungs and the fuzzy feeling in my head, which I hadn't even noticed, fades.","L'air s'échappe de mes poumons et la sensation de flou dans ma tête, que je n'avais même pas remarquée, s'estompe.","Ça fait sortir de mes poumons un soupir et le sentiment de brouillard qui se trouvait dans ma tête, que je n'avais même pas remarqué, s'estompe."
"""I was thinking,"" he says, rolling to his back after we catch our breath.","J'étais en train de réfléchir, dit-il en se mettant sur le dos après que nous ayons repris notre souffle.","Ça m'a fait penser, dit-il en se retournant sur le dos après que nous ayons respiré."
"""I left the candle on the vanity, and there's a lighter beside it.""","J'ai laissé la bougie sur le meuble, et il y a un briquet à côté.","Ça a été un peu difficile, mais j'ai laissé la bougie sur la commode et il y a une allumette à côté."
"""This way I get some time between school and the work I do for you guys at the station.""","...Comme ça, j'ai un peu de temps entre l'école et le travail que je fais pour vous à la station radio.",Ça me donne du temps entre l'école et le travail que j'effectue pour vous à la station.
I hope that you enjoyed reading Devyn and Andi's story as much as I enjoyed writing it.,J'espère que vous avez pris autant de plaisir à lire l'histoire de Devyn et Andi que j'ai eu à l'écrire.,Je espère que tu as apprécié lire l'histoire de Devyn et d'Andi autant que j'ai apprécié l'écrire.
Your mother sent me.,C'est ta mère qui m'envoie.,Ça vient de ta mère.
Like he's been comfortable in the pool but is ready to step into the ocean.,Comme s'il était assez à l'aise dans la piscine et qu'il était prêt à aller dans l'océan.,"Ça lui a fait plaisir de se baigner dans la piscine, mais il est prêt à entrer dans l'océan."
She stared at the flickering candles.,Elle fixa les bougies vacillantes.,Elle fixa les bougies qui s'éteignaient.
"I feel the stinging pressure of his teeth on the hardening nub before he sits back, running his hands along my chest and abdomen.","Je sens la morsure cuisante de ses dents sur mon téton qui durcit avant qu'il ne s'assoie, passant ses mains le long de ma poitrine et de mon abdomen.","Je ressens la pression des dents de son pénis sur le petit bouton qui se durcit avant qu'il ne se redresse, passant ses mains sur mon torse et mon abdomen."
John leans back in his chair and takes a swig of his beer.,John s'adosse à sa chaise et boit une gorgée de sa bière.,John se penche en arrière dans son fauteuil et boit une gorgée de bière.
"""I thought we were more,"" he said.","Je pensais que nous étions plus que ça, dit-il.","Ça m'a fait penser que nous étions plus qu'amis, dit-il."
She was crawling on top of him and laying her head on his chest with a soft sigh as he wrapped his arms around her and couldn't help but feel like she was exactly where she belonged.,"Elle se glissa sur lui et posa sa tête sur sa poitrine en soupirant doucement, tandis qu'il l'entourait de ses bras et ne pouvait s'empêcher de penser qu'elle était exactement à sa place.","Ça lui faisait plaisir de la voir se pencher sur lui et de poser sa tête sur son torse avec un soupir doux, tandis qu'il l'enveloppait de ses bras et qu'il ne pouvait s'empêcher de croire qu'elle était exactement où elle devait être."
I have to jog to catch up.,Je dois trottiner pour le rattraper.,Ça me faut de courir pour rattraper le rythme.
"If we don't hurry, we're going to get caught in the dark.""","Si on ne se dépêche pas, on va se faire surprendre par l'obscurité.","Ça va falloir que nous nous hâteons, sinon nous allons être pris au dépourvu."
Mari's tail twitched in excitement.,La queue de Mari s'agita sous l'effet de l'excitation.,"Ça fait battre le cœur à Mari, qui se mit à trembler de joie."
Were better left forgotten.,Il vaut mieux les oublier.,Ça vaut mieux oublier.
"I should've told you about Inna, but I didn't expect to see him here on the islandnot after the storm, and certainly not while I was with you.","J'aurais dû te parler d'Inna, mais je ne m'attendais pas à le voir ici sur l'île  pas après la tempête, et certainement pas pendant que j'étais avec toi. Je ne l'épouserai pas, quoi qu'il arrive.","Ça aurait dû être dit, mais je n'avais pas prévu de le voir ici, pas après la tempête, et certainement pas pendant que je suis avec toi."
"""Yeah?"" I'm logging my playlist, trying to keep my focus off our proximity to one another.","J'enregistre ma playlist, en essayant de ne pas me concentrer sur notre proximité.","Ça va ? Je fais une liste de mes chansons, essayant de garder mon attention loin de notre proximité."
"By the time enough merfolk had gathered to save her, the pirate ship was gone, harbored somewhere, no doubt.","Le temps que suffisamment d'habitants des mers se rassemblent pour la sauver, le bateau pirate avait disparu, sans doute caché quelque part.","Ça a fallu que suffisamment d'êtres marins se rassemblent pour la sauver, mais le navire pirate était déjà parti, caché quelque part, sans doute."
Did her mother know about the revenge plot?,Sa mère était-elle au courant du projet de vengeance ?,Ça faisait-il partie du plan de vengeance ?
"""You don't know that,"" came the sadly mumbled reply that had his lips twitching.","Tu n'en sais rien, marmonnant tristement la jeune femme entre ses lèvres, ce qui le fit sourire","Ça ne te dit rien, répondit-il, marmonnant tristement, ce qui fit trembler ses lèvres."
"He'd never understood why Devyn didn't play the same game, probably never would, and now that he knew about Andi...","Il n'avait jamais compris pourquoi Devyn ne jouait pas le même jeu, pourquoi il ne le ferait probablement jamais, et maintenant qu'il savait pour Andi...","Ça ne l'avait jamais étonné que Devyn ne jouât pas le même jeu, probablement qu'il ne l'aurait jamais fait, et maintenant qu'il savait que c'était Andi..."
The urge to possess her thrummed through him to the point he could barely think.,L'envie de la posséder l'envahissait à tel point qu'il avait du mal à réfléchir.,"Ça lui faisait envie de la posséder, à tel point qu'il ne pouvait plus penser."
"""You should check the supply closet.""",Tu devrais vérifier le placard à fournitures.,Ça vaut le coup de vérifier le placard des fournitures.
I'm telling you what I need.,Je te dis ce dont j'ai besoin.,"Ça, c'est ce que je veux."
Want to get to know you.,Je veux apprendre à te connaître.,Ça veut dire que je veux te connaître.
His face brightens.,Son visage s'éclaire.,Son visage s'éclaire.
Why would he risk that for either of them?,Pourquoi risquerait-il cela pour l'un ou l'autre ?,Ça risquerait-il pour l'un ou l'autre ?
Best not to think about that at all.,Mieux valait ne pas y penser.,Ça ne faut pas penser à ça du tout.
"There are several articles about the football team, one about the debate team.","Il y a plusieurs articles sur l'équipe de football, un sur l'équipe de débat.","Ça y est, il y a plusieurs articles sur l'équipe de football, un sur l'équipe de débat."
"He didn't move, his gaze fixed on the bar ceiling.","Il ne bougea pas, le regard fixé sur le plafond du bar.","Ça ne bougeait pas, son regard fixé sur le plafond du bar."
I spit this out like some jilted lover.,Je crache ça comme un amoureux éconduit.,Ça ressemble à ce que j'ai dit à une amoureuse rejetée.
"I've paired it with a soft pair of black corduroys that he hasn't seen yet, but I thank him for the compliment.","Je l'ai associé à un pantalon en velours côtelé noir qu'il n'a pas encore vu, mais je le remercie pour le compliment.","Ça va avec un jean noir en velours que je n'ai pas encore montré à son père, mais je lui remercie du compliment."
"He was so sure.""",Il en était si sûr.,Ça lui avait tellement fait confiance.
"To his credit, he slaps a hand over his mouth.","À sa décharge, il porte une main sur sa bouche.","Ça lui vaut du crédit, il se met la main sur la bouche."
Would he ever get control of the rage inside him?,Parviendra-t-il un jour à contrôler la rage qui l'habitait ?,Ça lui arriverait-il de maîtriser la rage qui le dévore ?
His stomach knotted at the doubt that swirled around him.,Son estomac se noua devant le doute qui l'envahissait.,Son estomac se noua à la doute qui l'entourait.
She should slip under and swim away.,Elle devrait se glisser sous l'eau et s'enfuir à la nage.,Ça lui faut de se laisser aller et de s'échapper.
"""Well, surely he had it painted before he died.""",Il l'a sûrement fait peindre avant de mourir.,"Ça, il l'a certainement fait peindre avant de mourir."
Talking about my childhood illicits foreign sensations.,Parler de mon enfance provoque des sensations étranges.,Être questionné sur mon enfance me fait ressentir des sensations étrangères.
"He wasn't sure what hurt more, his head or his ribs, but at that moment, he wished the asshole that attacked him had finished the fucking job and put him out of his misery.","Mais, à cet instant, il aurait aimé que le connard qui l'avait agressé ait fini le boulot et mette fin à ses souffrances.","Ça lui faisait mal, la tête ou les côtes, mais à ce moment-là, il souhaitait que l'assassin qui l'avait attaqué ait fini le travail et l'ait mis hors de ses souffrances."
He tasted the zinc that his mother had insisted he put on his nose and that always melted and dribbled down into his mouth.,Il goûta la crème solaire que sa mère insistait pour qu'il mette sur son nez et qui finissait par fondre et couler dans sa bouche.,Ça tait le zinc que sa mère lui avait imposé de mettre sur le nez et qui se fondait et coulait dans sa bouche.
She stood between him and the ocean like a lifeguard station or lighthouse.,"Elle se tenait entre lui et l'océan, comme un poste de sauvetage ou un phare.",Ça ressemblait à une station de sauvetage ou à un phare.
"""Nothing is stopping you from moving the carpentry to part-time, maybe on the weekends or something.""","Rien ne t'empêche de passer la menuiserie à temps partiel, peut-être le week-end ou quelque chose comme ça.","Ça ne te fait pas obstacle de passer la menuiserie à temps partiel, peut-être les week-ends ou quelque chose."
That really would have been too much to take.,Cela aurait été vraiment trop dur à supporter.,Ça aurait été trop pour moi.
"""No,"" he says, grabbing my hand.","Non, dit-il en m'attrapant la main.","Non, dit-il en me saisissant la main."
I plaster on a smile and move away from them as he hands me a pint glass filled with a golden liquid.,J'esquisse un sourire et m'éloigne d'elles tandis qu'il me tend un verre rempli d'un liquide doré.,Je collage un sourire et me détache de lui alors qu'il me tend un verre de bière rempli d'un liquide doré.
Chase had told her they would get through the storm togetherthat was the sweet and protective man she loved.,Chase lui avait dit qu'ils traverseraient la tempête ensemble  c'était l'homme doux et protecteur qu'elle aimait.,"Ça faisait partie de son charme, de son côté protecteur."
Mine is practically immobilized inside his grasp.,La mienne est pratiquement immobilisée dans son emprise.,Ça me semble presque immobilisé dans ses mains.
"After a last look around, she flipped off the shop's main lights.","Après avoir jeté un dernier coup d'œil autour d'elle, elle éteignit les lumières principales de la boutique.","Ça suffit, dit-elle en regardant autour d'elle, avant de s'éteindre les lumières principales du magasin."
He wanted to hold her close and listen to her laughter and share in her happiness.,"Il voulait la serrer contre lui, écouter ses rires et partager son bonheur.","Ça lui faisait plaisir de la tenir près de lui, d'entendre son rire et de partager son bonheur."
"She stepped up into the cart, tipping it forward and setting it swaying and creaking.","Elle monta dans la cabine, la faisant basculer vers l'avant et la faisant osciller et grincer.","Ça va, dit-elle en montant dans la charrette, la faisant avancer, la faisant osciller et craquer."
"And your mother is holding up his end of the bargain, as she should.","Et ta mère tient sa part du marché, comme il se doit.","Ça va, et ta mère tient son côté du marché, comme elle devrait le faire."
"""Did I mention that I really need to use the bathroom?"" she asked, sending the bathroom a hopeful look.",Ai-je mentionné que j'ai vraiment besoin d'aller aux toilettes ?,"Ça me dit que j'ai besoin vraiment de faire pipi, a-t-elle demandé, envoyant un regard espérant au bureau de toilette."
I let you rescue him.,Je t'ai laissé le sauver.,Ça t'a permis de le sauver.
But he's looking at me like it's the first time.,Mais il me regarde comme si c'était la première fois.,"Ça fait du bien, mais il me regarde comme s'il s'agissait de la première fois."
"I have better things to do than to waste my time worrying about what other people think.""",J'ai mieux à faire que de perdre mon temps à savoir ce que pensent les autres.,Ça me faut mieux que de me préoccuper de ce que pensent les autres.
The smile he gives me leaves me uncharacteristically breathless.,Le sourire qu'il m'adresse me laisse sans voix.,Ça me laisse un peu sans souffle.
"I can totally picture John Burton as a teacher, he has the personality for it.","Je peux tout à fait imaginer John Burton comme professeur, il a la personnalité qu'il faut.","Ça me fait peur, je peux totalement imaginer John Burton en professeur, il a le caractère pour ça."
