sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières s'éteignirent.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","Ça ne sera pas sûr près des côtes pour le moment, mais je connais bien la région, répondit Mesa."
Chapter 10,Chapitre 10,10
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Ça, c'était un miracle, compte tenu de la force de la tempête."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Ça aurait pu être différent, il aurait demandé à sortir avec elle ou trois fois."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me fait rouler sur le ventre avec une facilité qui me surprend.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Ça, on pourrait imaginer qu'il y ait une grande roue à Paris, mais on pourrait aussi la nommer la Tour Eiffel."
"""I know the area you are talking about.",Je connais le coin dont tu parles.,"Ça, je connais l'endroit."
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Ça sort sur un soupir, car John baissé la tête sur ma peau, les lèvres effleurant l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,Ça ne te fait pas d'habitude de venir samedi.
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il se retira, il roula ses hanches plus lentement, la prenant avec des coups de bâtonnet lents pour pouvoir savourer chaque retour à l'intérieur d'elle."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","Ça ne t'oblige pas à m'expliquer, John."
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ça ne leur donnait rien.
