sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières vacillaient.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","Ça ne serait pas sûr de se trouver près des côtes pour l'instant, mais je connais bien la région, répondit Mesa."
Chapter 10,Chapitre 10,10
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Ça, c'était un miracle, compte tenu de la force de la tempête."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Ça aurait pu être différent, il aurait demandé à sortir avec elle ou trois fois."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me fait rouler sur le ventre avec une facilité qui me surprend.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Ça, nous pouvions imaginer qu'il y a une grande roue à Paris, mais on pourrait aussi la nommer la Tour Eiffel."
"""I know the area you are talking about.",Je connais le coin dont tu parles.,Ça me rappelle l'endroit que tu parles.
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Ça sort sur un soupir lorsque John baissa la tête sur ma peau, les lèvres effleurant l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,Ça ne te fait pas d'habitude de venir samedis.
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il se retira, il roula ses hanches plus lentement, la prenant avec des coups de bâton pour pouvoir savourer chaque retour à l'intérieur d'elle."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","Ça ne t'oblige pas à m'expliquer, John."
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ça ne leur donnait rien.
"I was grateful in the beginning that he'd gone out of his way not to be a distraction during my shifts, but I'm now I'm feeling a bit left out.","Au début, j'étais reconnaissant qu'il fasse tout son possible pour ne pas être une distraction pendant mes heures de travail, mais maintenant, je me sens un peu exclu.","Ça m'a fait du bien au début qu'il ait fait le maximum pour ne pas être une distraction pendant mes déplacements, mais maintenant je me sens un peu laissé de côté."
"Wood cracked and splinteredthough he couldn't see it, he knew the bar roof was close to stripping away, shingles probably flying everywhere.","Le bois cognait et se brisait  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'arracher, et que les bardeaux volaient probablement dans tous les sens.","Le bois craqua et se brisa, même s'il ne pouvait pas le voir, il savait que le toit du bar était sur le point de s'effacer, les tuiles volant probablement partout."
"Make sure that she takes her meds, takes it easy, and changes her bandage.""","Assure toi qu'elle prenne ses médicaments, qu'elle se ménage et qu'elle change son bandage.","Être sûr qu'elle prenne ses médicaments, qu'elle se calme et qu'elle change sa bande."
"""Get out of here, Mari,"" Chase yelled.","Sors d'ici, Mari, cria Chase.","Ça suffit, Mari, cria Chase."
And he wasn't going to get away with stalking anyone either.,Et il n'allait pas non plus s'en tirer en harcelant qui que ce,Ça ne l'empêcherait pas de se faire arrêter pour harcèlement.
"I'm so open to him, so eager to receive him.","Je suis tellement ouvert à lui, tellement désireux de le recevoir.","Ça me fait si ouvert à lui, si désireux de le recevoir."
It's a déjà vu moment if I've ever had one.,C'est un moment de déjà-vu.,Ça ressemble à un moment de déjà-vu si j'en ai jamais eu.
"When I'm with someone, I want to share the good and the bad.","Quand je suis avec quelqu'un, je veux partager les bons et les mauvais moments.",Ça fait du bien de partager les bonheurs et les maux avec quelqu'un.
"""You have a lot of eighties music here,"" John observes.","Tu as beaucoup de musique des années 80, observe John.","Ça fait beaucoup de musique des années 80, remarque John."
"I can escape with little effort.""",Je peux m'échapper sans trop d'efforts.,Ça me permet d'échapper avec peu d'efforts.
"At some spots, the island was so narrow you could throw a stone from the sound side to the waves.","À certains endroits, l'île était si étroite que l'on pouvait jeter une pierre sur les vagues du rivage et elle atterrirait dans les profondeurs.","Ça faisait des années que je n'y retournait plus, mais à certains endroits, l'île était si étroite que tu pouvais jeter une pierre du côté du bruit jusqu'aux vagues."
"""When I finish up here.",Quand j'aurai fini ici.,Ça va finir quand j'aurai fini ici.
How could her mother ever expect her to marry someone like Inna?,Comment sa mère avait-t-elle pu s'attendre à ce qu'elle épouse quelqu'un comme Inna ?,Ça aurait fallu qu'elle ait un cerveau de singe pour s'attendre à ce que sa fille se marie avec quelqu'un comme Inna.
A real kiss.,Un vrai baiser.,"Ça, c'était un vrai baiser."
It also got me my gig as a disc jockey.,C'est aussi ce qui m'a permis de devenir disc-jockey.,Ça m'a aussi permis d'obtenir mon poste de disc jockey.
"""No!"" came the hysterical reply that had him sighing heavily as he reached down and grabbed hold of the comforter and slowly pulled it off the woman that refused to leave the hotel.","une pointe d'hystérie dans la voix, ce qui le fit soupirer lourdement en attrapant la couette et en la retirant lentement à la femme qui refusait de quitter l'hôtel","Ça ne va pas ! répondit-elle hystériquement, ce qui le fit soupirer lourdement alors qu'il tendait la main et attrapait la couette et la retirait lentement de la femme qui refusait de quitter l'hôtel."
The wind and rain had been scarier than she'd ever experienced.,Le vent et la pluie avaient été plus effrayants qu'ils ne lui étaient jamais apparus.,"Ça faisait plus que peur, plus que tout ce qu'elle avait jamais vécu."
He'd been there that day when she had come upon the divers.,Il était là ce jour-là quand elle avait rencontré les plongeurs.,Ça avait été lui qui était là ce jour-là quand elle avait rencontré les plongeurs.
