sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières vacillaient.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","Ça n'est pas sûr près du rivage en ce moment, mais je connais bien la région, dit Mesa."
Chapter 10,Chapitre 10,10
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Ça, c'était un miracle, pensa-t-il, alors que la tempête s'abattait sur la ville."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Ça aurait pu être différent, il aurait pu lui demander un rendez-vous ou trois."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me fait rouler sur le ventre avec une facilité qui me surprend.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Ça nous permettrait d'imaginer qu'il y a une grande roue à Paris, mais on pourrait la nommer la Tour Eiffel."
"""I know the area you are talking about.",Je connais le coin dont tu parles.,Ça me rappelle un endroit.
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Les mots sortent sous un soupir, parce que John baissait la tête sur ma peau, les lèvres effleurant l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,Ça ne te fait pas d'habitude les samedis.
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il se retira, il roula ses hanches plus lentement, la prenant avec des coups de bâtonnet lents pour pouvoir savourer chaque retour en elle."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","Ça ne te tient pas à m'expliquer, John."
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ça ne leur servait à rien.
"I was grateful in the beginning that he'd gone out of his way not to be a distraction during my shifts, but I'm now I'm feeling a bit left out.","Au début, j'étais reconnaissant qu'il fasse tout son possible pour ne pas être une distraction pendant mes heures de travail, mais maintenant, je me sens un peu exclu.","Ça m'a fait plaisir au début qu'il ait fait le détour pour ne pas être une distraction pendant mes déplacements, mais maintenant je me sens un peu laissé de côté."
"Wood cracked and splinteredthough he couldn't see it, he knew the bar roof was close to stripping away, shingles probably flying everywhere.","Le bois cognait et se brisait  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'arracher, et que les bardeaux volaient probablement dans tous les sens.","Le bois craquait et se brisait, même s'il ne le voyait pas, il savait que le toit du bar était très près de s'effacer, les tuiles volant probablement partout."
"Make sure that she takes her meds, takes it easy, and changes her bandage.""","Assure toi qu'elle prenne ses médicaments, qu'elle se ménage et qu'elle change son bandage.","Ça, assure-toi qu'elle prendra ses médicaments, qu'elle se calme et qu'elle change de bandage."
"""Get out of here, Mari,"" Chase yelled.","Sors d'ici, Mari, cria Chase.","Ça suffit, Mari, cria Chase."
And he wasn't going to get away with stalking anyone either.,Et il n'allait pas non plus s'en tirer en harcelant qui que ce,Ça ne le sauverait pas non plus de la poursuite d'une personne.
"I'm so open to him, so eager to receive him.","Je suis tellement ouvert à lui, tellement désireux de le recevoir.","Ça me fait si ouvert à lui, si désireux de le recevoir."
It's a déjà vu moment if I've ever had one.,C'est un moment de déjà-vu.,Ça ressemble à un moment de déjà-vu si j'en ai eu un.
