sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières vacillaient.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","Ça n'est pas sûr près des côtes pour l'instant, mais je connais bien l'endroit, répondit Mesa."
Chapter 10,Chapitre 10,10
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Ça faisait encore deux fenêtres cassées dans tout l'endroit, ce qui semblait un miracle, compte tenu de la force de la tempête."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Si les choses étaient différentes, il l'aurait invitée en date ou trois."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me fait tomber sur mon ventre avec une facilité qui me surprend.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Ça aurait pu être l'Éiffel, même si nous pouvions imaginer qu'il y ait une grande roue à Paris."
"""I know the area you are talking about.",Je connais le coin dont tu parles.,Je connais l'endroit que tu parles.
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Les mots sortent sous un soupir lorsque John baissa la tête sur ma peau, les lèvres effleurant l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,Ça ne te fait pas habituellement les samedis.
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups de bâtonnet lents pour pouvoir savourer chaque retour à l'intérieur d'elle."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","Tu ne m'obliges pas à t'expliquer, John."
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ça ne leur apportait rien.
"I was grateful in the beginning that he'd gone out of his way not to be a distraction during my shifts, but I'm now I'm feeling a bit left out.","Au début, j'étais reconnaissant qu'il fasse tout son possible pour ne pas être une distraction pendant mes heures de travail, mais maintenant, je me sens un peu exclu.","Ça m'a fait plaisir au début qu'il ait fait le possible pour ne pas être une distraction pendant mes déplacements, mais maintenant je me sens un peu à l'écart."
"Wood cracked and splinteredthough he couldn't see it, he knew the bar roof was close to stripping away, shingles probably flying everywhere.","Le bois cognait et se brisait  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'arracher, et que les bardeaux volaient probablement dans tous les sens.","Le bois craqua et se brisa, même s'il ne pouvait pas le voir, il savait que le toit du bar était très proche de s'envoler, les tuiles volant probablement partout."
"Make sure that she takes her meds, takes it easy, and changes her bandage.""","Assure toi qu'elle prenne ses médicaments, qu'elle se ménage et qu'elle change son bandage.","Assure-toi qu'elle prenne ses médicaments, qu'elle se calme et qu'elle change son pansement."
"""Get out of here, Mari,"" Chase yelled.","Sors d'ici, Mari, cria Chase.","Ça suffit, Mari, cria Chase."
And he wasn't going to get away with stalking anyone either.,Et il n'allait pas non plus s'en tirer en harcelant qui que ce,Ça ne lui permettrait pas non plus de poursuivre quelqu'un.
"I'm so open to him, so eager to receive him.","Je suis tellement ouvert à lui, tellement désireux de le recevoir.","Je suis si ouvert à lui, si désireux de le recevoir."
It's a déjà vu moment if I've ever had one.,C'est un moment de déjà-vu.,Ça ressemble à un déjà-vu si j'en ai eu un.
"When I'm with someone, I want to share the good and the bad.","Quand je suis avec quelqu'un, je veux partager les bons et les mauvais moments.","Quand je suis avec quelqu'un, je veux partager le bon et le mauvais."
"""You have a lot of eighties music here,"" John observes.","Tu as beaucoup de musique des années 80, observe John.","Ça y a beaucoup de musique des années 80, remarque John."
"I can escape with little effort.""",Je peux m'échapper sans trop d'efforts.,Je peux m'échapper avec peu d'efforts.
