sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières vacillèrent.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","Ça n'est pas sûr près du rivage pour l'instant, mais je connais bien l'endroit, dit Mesa."
Chapter 10,Chapitre 10,10
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Ça, c'était encore un miracle, compte tenu de la force de la tempête."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Si les choses étaient différentes, il aurait demandé à sortir avec elle ou trois fois."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me fait rouler sur le ventre avec une facilité qui me surprend.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Ça, on pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel."
"""I know the area you are talking about.",Je connais le coin dont tu parles.,Ça me rappelle un endroit que j'ai déjà vu.
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Les mots sortent sur un soupir, car John baissa la tête sur ma peau, les lèvres effleurant l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,Ça ne te fait pas d'habitude les samedis.
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il se retira, il roula ses hanches plus lentement, l'emmenant avec des coups de langue lents pour pouvoir savourer chaque retour en elle."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","Ça ne t'oblige pas à m'expliquer, John."
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ça ne leur servait à rien.
"I was grateful in the beginning that he'd gone out of his way not to be a distraction during my shifts, but I'm now I'm feeling a bit left out.","Au début, j'étais reconnaissant qu'il fasse tout son possible pour ne pas être une distraction pendant mes heures de travail, mais maintenant, je me sens un peu exclu.","Ça m'a fait plaisir au début qu'il n'ait pas fait de bruit pendant mes déplacements, mais maintenant, je me sens un peu laissé de côté."
"Wood cracked and splinteredthough he couldn't see it, he knew the bar roof was close to stripping away, shingles probably flying everywhere.","Le bois cognait et se brisait  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'arracher, et que les bardeaux volaient probablement dans tous les sens.","Le bois craqua et se brisa, même s'il ne pouvait pas le voir, il savait que le toit du bar était très près de s'effacer, les tuiles volant probablement partout."
"Make sure that she takes her meds, takes it easy, and changes her bandage.""","Assure toi qu'elle prenne ses médicaments, qu'elle se ménage et qu'elle change son bandage.","Ça, assure-toi qu'elle prend ses médicaments, qu'elle se calme et qu'elle change de bandage."
"""Get out of here, Mari,"" Chase yelled.","Sors d'ici, Mari, cria Chase.","Ça suffit, Mari, cria Chase."
And he wasn't going to get away with stalking anyone either.,Et il n'allait pas non plus s'en tirer en harcelant qui que ce,Ça ne lui permettait pas de faire de la pêche aux humains.
"I'm so open to him, so eager to receive him.","Je suis tellement ouvert à lui, tellement désireux de le recevoir.","Ça me fait si ouvert à lui, si désireux de le recevoir."
It's a déjà vu moment if I've ever had one.,C'est un moment de déjà-vu.,Ça ressemble à un moment de déjà-vu si j'en ai eu un.
"When I'm with someone, I want to share the good and the bad.","Quand je suis avec quelqu'un, je veux partager les bons et les mauvais moments.","Quand je suis avec quelqu'un, je veux partager le bon et le mauvais."
"""You have a lot of eighties music here,"" John observes.","Tu as beaucoup de musique des années 80, observe John.","Ça y a beaucoup de musique des années 80, remarque John."
"I can escape with little effort.""",Je peux m'échapper sans trop d'efforts.,Ça me permet d'échapper avec peu d'efforts.
"At some spots, the island was so narrow you could throw a stone from the sound side to the waves.","À certains endroits, l'île était si étroite que l'on pouvait jeter une pierre sur les vagues du rivage et elle atterrirait dans les profondeurs.",Ça faisait si peu de large à certains endroits que tu pouvais jeter une pierre du côté du bruit jusqu'aux vagues.
"""When I finish up here.",Quand j'aurai fini ici.,"Ça, quand je finirai ici."
How could her mother ever expect her to marry someone like Inna?,Comment sa mère avait-t-elle pu s'attendre à ce qu'elle épouse quelqu'un comme Inna ?,"Ça, comment pouvait-elle s'attendre à ce qu'elle se marie avec quelqu'un comme Inna ?"
A real kiss.,Un vrai baiser.,"Ça, c'était un vrai baiser."
It also got me my gig as a disc jockey.,C'est aussi ce qui m'a permis de devenir disc-jockey.,Ça m'a aussi permis d'obtenir le poste de DJ.
"""No!"" came the hysterical reply that had him sighing heavily as he reached down and grabbed hold of the comforter and slowly pulled it off the woman that refused to leave the hotel.","une pointe d'hystérie dans la voix, ce qui le fit soupirer lourdement en attrapant la couette et en la retirant lentement à la femme qui refusait de quitter l'hôtel","Non ! répondit-elle hystériquement, ce qui le fit soupirer lourdement en s'approchant et en attrapant la couette pour la retirer lentement de la femme qui refusait de quitter l'hôtel."
The wind and rain had been scarier than she'd ever experienced.,Le vent et la pluie avaient été plus effrayants qu'ils ne lui étaient jamais apparus.,Ça avait été plus effrayant que tout ce qu'elle avait jamais vécu.
He'd been there that day when she had come upon the divers.,Il était là ce jour-là quand elle avait rencontré les plongeurs.,Ça avait été lui qui l'avait vu arriver les plongeurs.
"""Amelia never remarried but lived on the bounty Christopher had stored and hidden on the island.",Amelia ne s'est jamais remariée mais a vécu grâce à la prime que Christopher avait stockée et cachée sur l'île.,"Amelia n'a jamais repris la vie en couple, mais elle s'est installée sur les richesses que Christopher avait stockées et cachées sur l'île."
"""Only bloody thing they ever gave me,"" I murmur.","C'est la seule chose qu'ils m'aient jamais donnée , murmuré-je.","Ça, c'est la seule chose qu'ils m'aient donnée, murmuré-je."
"""Tell me you didn't, please!""","Dis-moi que tu ne l'as pas fait, s'il te plaît !","Ça ne t'a pas fait rien, s'il te plaît !"
"The wind whipped by, catching the hem of his T-shirt in a flutter, exposing his firm abdomen for a too-brief moment.","Le vent soufflait en trombe, faisant voltiger l'ourlet de son tee-shirt, dévoilant son abdomen ferme pendant un trop bref instant.","Le vent passa, attrapant l'extrémité de sa chemise, la faisant flotter, exposant son ventre ferme pendant un instant trop court."
"You never would.""",Tu ne le ferais jamais.,Ça ne te serait jamais passé par la tête.
Then they were separatedpossibly foreverto save her life.,Puis ils ont été séparés  peut-être pour toujours  afin de lui sauver la vie.,"Ça les a séparés, peut-être pour toujours, pour sauver sa vie."
"""I would probably quake in fear for the rest of my life at the mere mention of your name,"" Devyn said dryly as he watched her return to glaring at him as she hastily toed off her slippers and kicked them aside, determined to make sure that he was properly terrified.","Je tremblerais probablement de peur pour le reste de ma vie à la simple mention de ton nom, dit Devyn d'un ton moqueur en la regardant se remettre à le fixer du regard tandis qu'elle enlevait précipitamment ses pantoufles et les écartait d'un coup de pied, bien décidée à s'assurer qu'il était bien terrifié.","Ça me ferait probablement trembler de peur pour le reste de ma vie à la simple mention de ton nom, dit Devyn sèchement en la regardant retourner à lui glacer."
"It was water, nothing more.","C'était de l'eau, rien de plus.",Ça n'était qu'un peu d'eau.
"""Probably.""",Probablement.,Ça pourrait être.
"""Well, I don't think your brother would approve of you picking up and leaving the bar and everything you built here together.",Je ne pense pas que ton frère approuverait que tu prennes tes affaires et que tu quittes le bar et tout ce que vous avez construit ici ensemble.,"Ça, je ne pense pas que ton frère ait approuvé de toi prendre les choses en main et de quitter le bar et tout ce que tu as construit ici avec lui."
"Let's start tonight.""",Commençons ce soir.,Ça commence ce soir.
"I claim the right.""",Je revendique ce droit.,Ça me revient.
"In the new sunlight, he saw her body jerk and twitch.","Dans la nouvelle lumière du soleil, il vit son corps tressaillir et se contracter.","Dans la lumière du soleil, il vit son corps se tordre et se contorsionner."
