sources,references,translations
The lights flickered.,Les lumières clignotèrent.,Les lumières vacillèrent.
"It's not safe near shore right now, but I know the area well,"" Mesa said.","Il n'est pas prudent de s'approcher du rivage pour l'instant, mais je connais bien la région, dit Mesa.","Ça n'est pas sécurisé près du rivage en ce moment, mais je connais bien l'endroit, déclara Mesa."
Chapter 10,Chapitre 10,10
"Still, only two broken windows in the whole place seemed like a miracle, given the strength of the storm.","Cependant, le fait que seules deux fenêtres aient été brisées dans toute la structure était proche du miracle, compte tenu de la force de la tempête.","Ça restait à voir, mais deux fenêtres brisées dans tout l'immeuble semblaient un miracle, compte tenu de la force de la tempête."
"If things were different, he would have asked her on a date or three.","Si les choses avaient été différentes, il l'aurait invitée à un ou deux rendez-vous.","Si les choses étaient différentes, il aurait demandé une ou plusieurs fois de sortir avec elle."
John rolls me to my stomach with an ease that surprises me.,John me fait rouler sur le ventre avec une facilité qui me surprend.,John me fait rouler sur le dos d'un mouvement qui me surprend par son aisance.
"Though we could imagine there's a Ferris wheel in Paris, we could call it the Eiffel Tower.""","On pourrait imaginer qu'il y a une grande roue à Paris, on pourrait l'appeler la Tour Eiffel.","Ça nous vient à l'esprit qu'il y a une grande roue à Paris, mais on pourrait la nommer la Tour Eiffel."
"""I know the area you are talking about.",Je connais le coin dont tu parles.,Ça me dit la zone que tu parles.
"The words come out on a shuddering breath because John lowers his head to my skin, lips brushing over the ink.","Les mots sortent dans un souffle tremblant parce que John baisse la tête contre ma peau, ses lèvres effleurant l'encre de mon tatouage.","Ça sort sur un soupir tremblant parce que John baisse la tête sur ma peau, les lèvres effleurant l'encre."
"You're not usually on Saturdays.""",Tu ne travailles pas généralement le samedi.,Ça ne t'est pas d'habitude de samedis.
"When he pulled back, he rolled his hips slower, taking her with slow strokes so that he could savor every slide back inside her.","Lorsqu'il se retira, il fit rouler ses hanches plus lentement, la prenant avec des coups lents afin de pouvoir savourer chaque glissement à l'intérieur d'elle.","Quand il recula, il fit pivoter ses hanches à un rythme plus lent, la prenant avec des coups de reins lents pour qu'il puisse savourer chaque retour à elle."
"""You don't owe me an explanation, John.""","Tu ne me dois pas d'explications,","Ça ne te fait pas obligé de m'expliquer, John."
They had nothing to gain.,Ils n'avaient rien à y gagner.,Ça ne leur servait à rien.
"I was grateful in the beginning that he'd gone out of his way not to be a distraction during my shifts, but I'm now I'm feeling a bit left out.","Au début, j'étais reconnaissant qu'il fasse tout son possible pour ne pas être une distraction pendant mes heures de travail, mais maintenant, je me sens un peu exclu.","Ça m'a semblé bon au début qu'il ait fait le chemin de traverse pour ne pas être une distraction pendant mes séances, mais maintenant je me sens un peu laissé de côté."
"Wood cracked and splinteredthough he couldn't see it, he knew the bar roof was close to stripping away, shingles probably flying everywhere.","Le bois cognait et se brisait  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'arracher, et que les bardeaux volaient probablement dans tous les sens.","Le bois craqua et scindra  même s'il ne pouvait pas le voir, il savait que le toit du bar était à bout de souffle, les bardeaux volant probablement partout."
"Make sure that she takes her meds, takes it easy, and changes her bandage.""","Assure toi qu'elle prenne ses médicaments, qu'elle se ménage et qu'elle change son bandage.",Ça s'est passé comme ça ?
"""Get out of here, Mari,"" Chase yelled.","Sors d'ici, Mari, cria Chase.","Ça va, Mari, hurla Chase."
And he wasn't going to get away with stalking anyone either.,Et il n'allait pas non plus s'en tirer en harcelant qui que ce,Ça ne lui permettait pas non plus de faire du harcèlement à quelqu'un.
"I'm so open to him, so eager to receive him.","Je suis tellement ouvert à lui, tellement désireux de le recevoir.","Ça m'ouvre tellement, j'ai tellement envie de le recevoir."
It's a déjà vu moment if I've ever had one.,C'est un moment de déjà-vu.,Ça fait un déjà-vu si j'en ai jamais eu.
"When I'm with someone, I want to share the good and the bad.","Quand je suis avec quelqu'un, je veux partager les bons et les mauvais moments.","Ça dépend de qui je suis avec, mais en général, je veux partager les bonheurs et les maux."
"""You have a lot of eighties music here,"" John observes.","Tu as beaucoup de musique des années 80, observe John.","Ça y est, tu as beaucoup de musique des années 80, remarque John."
"I can escape with little effort.""",Je peux m'échapper sans trop d'efforts.,Ça me permet d'échapper avec peu d'efforts.
"At some spots, the island was so narrow you could throw a stone from the sound side to the waves.","À certains endroits, l'île était si étroite que l'on pouvait jeter une pierre sur les vagues du rivage et elle atterrirait dans les profondeurs.",Ça était si étroit à certains endroits que vous pouviez jeter une pierre du côté où il y a du bruit jusqu'aux vagues.
"""When I finish up here.",Quand j'aurai fini ici.,"Ça, quand j'aurai fini ici."
How could her mother ever expect her to marry someone like Inna?,Comment sa mère avait-t-elle pu s'attendre à ce qu'elle épouse quelqu'un comme Inna ?,Ça lui était impossible d'attendre qu'elle épouse quelqu'un comme Inna.
A real kiss.,Un vrai baiser.,Ça vaut un vrai baiser.
It also got me my gig as a disc jockey.,C'est aussi ce qui m'a permis de devenir disc-jockey.,Ça m'a aussi permis d'obtenir mon poste de DJ.
"""No!"" came the hysterical reply that had him sighing heavily as he reached down and grabbed hold of the comforter and slowly pulled it off the woman that refused to leave the hotel.","une pointe d'hystérie dans la voix, ce qui le fit soupirer lourdement en attrapant la couette et en la retirant lentement à la femme qui refusait de quitter l'hôtel","Non ! répondit la femme hystérique, ce qui le fit soupirer lourdement, puis il descendit, s'agrippa à la couette et la retira lentement de la femme qui refusait de quitter l'hôtel."
